,Alphabet,End of the word,Middle of the word,Beginning of the word,L/D
0,ا‎,ـا‎,ـا‎,ا‎,a
1,ب‎,ـب‎,ـبـ‎,بـ‎,b
2,ت‎,ـت‎,ـتـ‎,تـ‎,t
3,ث‎,ـث‎,ـثـ‎,ثـ‎,th
4,ج‎,ـج‎,ـجـ‎,جـ‎,j
5,ح‎,ـح‎,ـحـ‎,حـ‎,7
6,خ‎,ـخ‎,ـخـ‎,خـ‎,5
7,د‎,ـد‎,ـد‎,د‎,d
8,ذ‎,ـذ‎,ـذ‎,ذ‎,dh
9,ر‎,ـر‎,ـر‎,ر‎,r
10,ز‎,ـز‎,ـز‎,ز‎,z
11,س‎,ـس‎,ـسـ‎,سـ‎,s
12,ش‎,ـش‎,ـشـ‎,شـ‎,ch
13,ص‎,ـص‎,ـصـ‎,صـ‎,s
14,ض‎,ـض‎,ـضـ‎,ضـ‎,d
15,ط‎,ـط‎,ـطـ‎,طـ‎,t
16,ظ‎,ـظ‎,ـظـ‎,ظـ‎,dh
17,ع‎,ـع‎,ـعـ‎,عـ‎,3
18,غ‎,ـغ‎,ـغـ‎,غـ‎,gh
19,ف‎,ـف‎,ـفـ‎,فـ‎,f
20,ق‎,ـق‎,ـقـ‎,قـ‎,9
21,ك‎,ـك‎,ـكـ‎,كـ‎,k
22,ل‎,ـل‎,ـلـ‎,لـ‎,l
23,م‎,ـم‎,ـمـ‎,مـ‎,m
24,ن‎,ـن‎,ـنـ‎,نـ‎,n
25,ه‎,ـه‎,ـهـ‎,هـ‎,h
26,و‎,ـو‎,ـو‎,و‎,w
27,ي‎,ـي‎,ـيـ‎,يـ‎,i
28,ء,ء,ء,ء,2
29,,,Top vowel,َ‎,a
30,,,Top vowel,ُ,o
31,,,Bottom Vowel,ِ‎,i
32,چ,چ,چ,چ,g
33,گ,گ,گ,گ,g
