,LDM,LDA,MA,A
0,lmofradat,almofradat,لمفردات, المفردات
1,lbaldane ,boldan,لبلدان, البلدان
2,oustouraliya ,ostoralia,استراليا, أستراليا
3,kombodje ,kambodia,كامبودج, كمبوديا
4,kanada ,kanada,كندا, كندا
5,sine ,sin,الصين, الصين
6,missre ,masr,مصر, مصر
7,naglize ,inglaterra,نجليز, انكلترا
8,franssa ,faransa,فرانسا, فرنسا
9,almaniya ,almania,المانيا, ألمانيا
10,younane ,alyounan,ليونان, اليونان
11,lhande ,alhind,الهند, الهند
12,andounissiya ,indonisia,اندونيسيا, أندونيسيا
13,taliane ,italia,ايطاليا, إيطاليا
14,japoune ,alyaban,اليابان, اليابان
15,lmixik,almixik,المكسيك, المكسيك
16,maghrib,almaghrib,المغريب, المغرب
17,pirou ,birou,بيرو, بيرو
18,sbaniya ,2ispania,اسبانيا, إسبانيا
19,taylande ,tailand,طايلاند, تايلاند
20,mirikane ,alwilayat almota7ida alamrikia,ميريكان, الولايات المتحدة الأمريكية
22,loghat,loghat,لوغات, لغات
23,3arbia,al3arabia,لعربية, العربية
24,siniya ,asinia,صينية, الصينية
25,nagliziya ,al2inglizia,نجليزية, الإنجليزية
26,fransawiya ,alfaransia,فرنساويا, الفرنسية
27,almania,alalmania,المانيا, الألمانية
28,younaniya ,alyounanya,يونانيا, اليونانية
29,ihoudiya ,al3ibria,يهودية, العبرية
30,hindiya ,alhindia,هندية, الهندية
31,italiya ,al2italia,ايطالية, الإيطالي
32,japoniya ,alyabania,جابونية, اليابانية
33,kordiya ,alkouria,كورية, الكورية
34,latiniya ,latinia,لاتينية, لاتينية
35,roussiya ,roussia,روسية, الروسية
36,spaniouliya ,2ispania,صبليونية, الأسبانية
37,2ordia,al2ordia,الاردية, الأردية
39,lyamate ,2ayam,ليامات, أيام
40,tnine ,2ithnayn,تنين, الاثنين
41,tlate ,tholatha2,تلات, الثلاثاء
42,larb3a,2arbi3a2,لاربعا, الأربعاء
43,la5mis,5amis,الخميس, الخميس
44,jam3a,jomo3a,جمعة, الجمعة
45,sabte ,sabt,سبت, السبت
46,l7add,2a7ad,الحد, الأحد
48,marra ,marra,مرة, مرة
49,sa3a,sa3a,ساعة, ساعة
50,d9i9a,da9i9a,دقيقة, دقيقة
51,taniya ,thania,تانية, ثان
