,Alphabet,End of the word,Middle of the word,Beginning of the word
0,ا‎,ـا‎,ـا‎,ا‎
1,ب‎,ـب‎,ـبـ‎,بـ‎
2,ت‎,ـت‎,ـتـ‎,تـ‎
3,ث‎,ـث‎,ـثـ‎,ثـ‎
4,ج‎,ـج‎,ـجـ‎,جـ‎
5,ح‎,ـح‎,ـحـ‎,حـ‎
6,خ‎,ـخ‎,ـخـ‎,خـ‎
7,د‎,ـد‎,ـد‎,د‎
8,ذ‎,ـذ‎,ـذ‎,ذ‎
9,ر‎,ـر‎,ـر‎,ر‎
10,ز‎,ـز‎,ـز‎,ز‎
11,س‎,ـس‎,ـسـ‎,سـ‎
12,ش‎,ـش‎,ـشـ‎,شـ‎
13,ص‎,ـص‎,ـصـ‎,صـ‎
14,ض‎,ـض‎,ـضـ‎,ضـ‎
15,ط‎,ـط‎,ـطـ‎,طـ‎
16,ظ‎,ـظ‎,ـظـ‎,ظـ‎
17,ع‎,ـع‎,ـعـ‎,عـ‎
18,غ‎,ـغ‎,ـغـ‎,غـ‎
19,ف‎,ـف‎,ـفـ‎,فـ‎
20,ق‎,ـق‎,ـقـ‎,قـ‎
21,ك‎,ـك‎,ـكـ‎,كـ‎
22,ل‎,ـل‎,ـلـ‎,لـ‎
23,م‎,ـم‎,ـمـ‎,مـ‎
24,ن‎,ـن‎,ـنـ‎,نـ‎
25,ه‎,ـه‎,ـهـ‎,هـ‎
26,و‎,ـو‎,ـو‎,و‎
27,ي‎,ـي‎,ـيـ‎,يـ‎
28,ء,ء,ء,
30,,,Top vowel,َ‎
31,,,Top vowel,ُ
32,,,Bottom Vowel,ِ‎
33,چ,چ,چ,چ
34,گ,گ,گ,گ
