MoroccanAlphabet,ArabianAlphabet
 , 
!,!
",",،‎
', 
.,.
2,ء
22,ء
3,ع‎
33,ع‎
5,خ‎
55,خ‎
7,ح‎
77,ح‎
9,ق‎
99,ق‎
?,؟
a,ا‎
aa,ا‎
b,ب‎
bb,ب‎
c,س‎
c,ك‎
cc,ك‎
ch,ش‎
ch,ش‎
d,د‎
d,ذ‎
d,ض‎
d,ظ‎
dd,د‎
dd,ذ‎
dd,ض‎
dd,ظ‎
e, 
ee, 
f,ف‎
ff,ف‎
g,گ
gg,گ
gh,غ‎
gh,غ‎
h,ه‎
hh,ه‎
i,ي‎
ii,ي‎
j,ج‎
jj,ج‎
k,ك‎
kh,خ‎
kh,خ‎
kh,خ‎
kh,خ‎
kk,ك‎
l,ل‎
la,لا
ll,ل‎
m,م‎
mm,م‎
n,ن‎
nn,ن‎
o,و‎
oo,و‎
ou,و‎
ou,و‎
p,پ
pp,پ
q,ق‎
qq,ق‎
r,ر‎
rr,ر‎
s,س‎
s,ص‎
sh,ش‎
sh,ش‎
ss,س‎
ss,ص‎
t,ت‎
t,ث‎
t,ط‎
tt,ت‎
tt,ث‎
tt,ط‎
u,و‎
uu,و‎
v,ڤ‎
w,و‎
ww,و‎
x,كس
xx,كس
y,ي‎
yi,ي‎
yy,ي‎
z,ز‎
zz,ز‎
