Moroccan Alphabet,Arabic Alphabet,English Alphabet,Greek Alphabet
",",،,",",","
?,؟,?,?
a,ا,a,α
b,ب,b,μπ
s,س,s,σ
s,س,s,ς
ch,ش,ch,σ
d,د,d,δ
d,ذ,d,δ
d,ض,d,δ
d,ظ,d,δ
e,,e,ε
e,ا,e,ε
f,ف,f,φ
g,ڭ,g,γ
gh,غ,gh,ρ
h,ه,h,χ
h,ح,h,χ
h,ح,h,η
y,ي,y,υ
i,ي,i,ι
ee,ي,ee,εε
i,ا,i,ι
j,ج,j,ζ
k,ك,k,κ
c,ك,c,σ
kh,خ,kh,χ
l,ل,l,λ
la,لا,la,λα
m,م,m,μ
n,ن,n,ν
o,و,o,ο
o,و,o,ω
o,ا,o,ο
ou,و,ou,oυ
p,پ,p,π
q,ق,q,κ
r,ر,r,ρ
s,ص,s,σ
ss,ص,ss,σσ
sh,ش,sh,σ
t,ت,t,τ
t,ط,t,τ
t,ة,t,τ
t,ث,t,θ
u,و,u,oυ
v,ڤ,v,β
w,و,w,oυ
x,كز,x,ξ
x,كس,x,ξ
yi,ي,yi,υι
z,ز,z,ζ
3,ع,','
2,ء,','
5,خ,kh,χ
7,ح,h,χ
9,ق,q,κ
