Moroccan,Moroccan Arabic
 ,
!,!
",",،‎
', 
.,.
2,ء
22,ء
3,ع‎
3,ـع‎
3,ـعـ‎
3,عـ‎
33,ع‎
33,ـع‎
33,ـعـ‎
33,عـ‎
5,خ‎
5,ـخ‎
5,ـخـ‎
5,خـ‎
55,خ‎
55,ـخ‎
55,ـخـ‎
55,خـ‎
7,ح‎
7,ـح‎
7,ـحـ‎
7,حـ‎
77,ح‎
77,ـح‎
77,ـحـ‎
77,حـ‎
9,ق‎
9,ـق‎
9,ـقـ‎
9,قـ‎
99,ق‎
99,ـق‎
99,ـقـ‎
99,قـ‎
?,؟
?,؟
?,؟
?,؟
A,ا‎
A,ـا‎
A,ـا‎
A,ا‎
Aa,ا‎
Aa,ـا‎
Aa,ـا‎
Aa,ا‎
B,ب‎
B,ـب‎
B,ـبـ‎
B,بـ‎
Bb,ب‎
Bb,ـب‎
Bb,ـبـ‎
Bb,بـ‎
C,س‎
C,ـس‎
C,ـسـ‎
C,سـ‎
C,ك‎
C,ـك‎
C,ـكـ‎
C,كـ‎
Cc,ك‎
Cc,ـك‎
Cc,ـكـ‎
Cc,كـ‎
Ch,ش‎
Ch,ـش‎
Ch,ـشـ‎
Ch,شـ‎
D,د‎
D,ـد‎
D,ـد‎
D,د‎
D,ذ‎
D,ـذ‎
D,ـذ‎
D,ذ‎
D,ض‎
D,ـض‎
D,ـضـ‎
D,ضـ‎
D,ظ‎
D,ـظ‎
D,ـظـ‎
D,ظـ‎
Dd,د‎
Dd,ـد‎
Dd,ـد‎
Dd,د‎
Dd,ذ‎
Dd,ـذ‎
Dd,ـذ‎
Dd,ذ‎
Dd,ض‎
Dd,ـض‎
Dd,ـضـ‎
Dd,ضـ‎
Dd,ظ‎
Dd,ـظ‎
Dd,ـظـ‎
Dd,ظـ‎
E,ُْ
E,ُْ
E,ُْ
E,ُْ
Ee,ُْ
Ee,ُْ
Ee,ُْ
Ee,ُْ
F,ف‎
F,ـف‎
F,ـفـ‎
F,فـ‎
Ff,ف‎
Ff,ـف‎
Ff,ـفـ‎
Ff,فـ‎
G,گ
G,گ
G,گ
G,گ
Gg,گ
Gg,گ
Gg,گ
Gg,گ
Gh,غ‎
Gh,ـغ‎
Gh,ـغـ‎
Gh,غـ
Gh,غ‎
Gh,ـغ‎
Gh,ـغـ‎
Gh,غـ
H,ه‎
H,ـه‎
H,ـهـ‎
H,هـ‎
Hh,ه‎
Hh,ـه‎
Hh,ـهـ‎
Hh,هـ‎
I,ي‎
I,ـي‎
I,ـيـ‎
I,ي
Ii,ي‎
Ii,ـي‎
Ii,ـيـ‎
Ii,ي
Iy,ي‎
Iy,ـي‎
Iy,ـيـ‎
Iy,ي
J,ج‎
J,ـج‎
J,ـجـ‎
J,جـ‎
Jj,ج‎
Jj,ـج‎
Jj,ـجـ‎
Jj,جـ‎
K,ك‎
K,ـك‎
K,ـكـ‎
K,كـ‎
Kk,ك‎
Kk,ـك‎
Kk,ـكـ‎
Kk,كـ‎
L,ل‎
L,ـل‎
L,ـلـ‎
L,لـ‎
La,لا
La,ـلا
La,ـلا
La,لا
Ll,ل‎
Ll,ـل‎
Ll,ـلـ‎
Ll,لـ‎
